99, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s0.5-b, s0.5-g, s0.6-b, s0.6-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s1.5-b, s1.5-g, s1.6-b, s1.6-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s2.5-b, s2.5-g, s2.6-b, s2.6-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s3.5-b, s3.5-g, s3.6-b, s3.6-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, s4.5-b, s4.5-g, s4.6-b, s4.6-g, s5.0-b, s5.0-g, s5.1-b, s5.1-g, s5.2-b, s5.2-g, s5.3-b, s5.3-g, s5.4-b, s5.4-g, s5.5-b, s5.5-g, s5.6-b, s5.6-g, s6.0-b, s6.0-g, s6.1-b, s6.1-g, s6.2-b, s6.2-g, s6.3-b, s6.3-g, s6.4-b, s6.4-g, s6.5-b, s6.5-g, s6.6-b, s6.6-g, exit]
2, [e-gb, e-bg]
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
3,64,2 -> 1
3,65,2 -> 1
3,66,2 -> 1
3,67,2 -> 1
3,68,2 -> 1
3,69,2 -> 1
3,70,2 -> 1
3,71,2 -> 1
3,72,2 -> 1
3,73,2 -> 1
3,74,2 -> 1
3,75,2 -> 1
3,76,2 -> 1
3,77,2 -> 1
3,78,2 -> 1
3,79,2 -> 1
3,80,2 -> 1
3,81,2 -> 1
3,82,2 -> 1
3,83,2 -> 1
3,84,2 -> 1
3,85,2 -> 1
3,86,2 -> 1
3,87,2 -> 1
3,88,2 -> 1
3,89,2 -> 1
3,90,2 -> 1
3,91,2 -> 1
3,92,2 -> 1
3,93,2 -> 1
3,94,2 -> 1
3,95,2 -> 1
3,96,2 -> 1
3,97,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
4,64,2 -> 1
4,65,2 -> 1
4,66,2 -> 1
4,67,2 -> 1
4,68,2 -> 1
4,69,2 -> 1
4,70,2 -> 1
4,71,2 -> 1
4,72,2 -> 1
4,73,2 -> 1
4,74,2 -> 1
4,75,2 -> 1
4,76,2 -> 1
4,77,2 -> 1
4,78,2 -> 1
4,79,2 -> 1
4,80,2 -> 1
4,81,2 -> 1
4,82,2 -> 1
4,83,2 -> 1
4,84,2 -> 1
4,85,2 -> 1
4,86,2 -> 1
4,87,2 -> 1
4,88,2 -> 1
4,89,2 -> 1
4,90,2 -> 1
4,91,2 -> 1
4,92,2 -> 1
4,93,2 -> 1
4,94,2 -> 1
4,95,2 -> 1
4,96,2 -> 1
4,97,2 -> 1
5,0,1 -> po_0.0_0
5,0,0 -> 1-po_0.0_0
5,1,1 -> po_0.1_0
5,1,0 -> 1-po_0.1_0
5,2,1 -> po_0.0_1
5,2,0 -> 1-po_0.0_1
5,3,1 -> po_0.1_1
5,3,0 -> 1-po_0.1_1
5,4,1 -> po_0.0_0
5,4,0 -> 1-po_0.0_0
5,5,1 -> po_0.1_0
5,5,0 -> 1-po_0.1_0
5,6,1 -> po_0.0_2
5,6,0 -> 1-po_0.0_2
5,7,1 -> po_0.1_2
5,7,0 -> 1-po_0.1_2
5,8,1 -> po_0.0_3
5,8,0 -> 1-po_0.0_3
5,9,1 -> po_0.1_3
5,9,0 -> 1-po_0.1_3
5,10,1 -> po_0.0_4
5,10,0 -> 1-po_0.0_4
5,11,1 -> po_0.1_4
5,11,0 -> 1-po_0.1_4
5,12,1 -> po_0.0_5
5,12,0 -> 1-po_0.0_5
5,13,1 -> po_0.1_5
5,13,0 -> 1-po_0.1_5
5,14,1 -> po_0.0_6
5,14,0 -> 1-po_0.0_6
5,15,1 -> po_0.1_6
5,15,0 -> 1-po_0.1_6
5,16,1 -> po_0.0_0
5,16,0 -> 1-po_0.0_0
5,17,1 -> po_0.1_0
5,17,0 -> 1-po_0.1_0
5,18,1 -> po_0.0_6
5,18,0 -> 1-po_0.0_6
5,19,1 -> po_0.1_6
5,19,0 -> 1-po_0.1_6
5,20,1 -> po_0.0_7
5,20,0 -> 1-po_0.0_7
5,21,1 -> po_0.1_7
5,21,0 -> 1-po_0.1_7
5,22,1 -> po_0.0_8
5,22,0 -> 1-po_0.0_8
5,23,1 -> po_0.1_8
5,23,0 -> 1-po_0.1_8
5,24,1 -> po_0.0_9
5,24,0 -> 1-po_0.0_9
5,25,1 -> po_0.1_9
5,25,0 -> 1-po_0.1_9
5,26,1 -> po_0.0_10
5,26,0 -> 1-po_0.0_10
5,27,1 -> po_0.1_10
5,27,0 -> 1-po_0.1_10
5,28,1 -> po_0.0_7
5,28,0 -> 1-po_0.0_7
5,29,1 -> po_0.1_7
5,29,0 -> 1-po_0.1_7
5,30,1 -> po_0.0_2
5,30,0 -> 1-po_0.0_2
5,31,1 -> po_0.1_2
5,31,0 -> 1-po_0.1_2
5,32,1 -> po_0.0_7
5,32,0 -> 1-po_0.0_7
5,33,1 -> po_0.1_7
5,33,0 -> 1-po_0.1_7
5,34,1 -> po_0.0_11
5,34,0 -> 1-po_0.0_11
5,35,1 -> po_0.1_11
5,35,0 -> 1-po_0.1_11
5,36,1 -> po_0.0_12
5,36,0 -> 1-po_0.0_12
5,37,1 -> po_0.1_12
5,37,0 -> 1-po_0.1_12
5,38,1 -> po_0.0_13
5,38,0 -> 1-po_0.0_13
5,39,1 -> po_0.1_13
5,39,0 -> 1-po_0.1_13
5,40,1 -> po_0.0_14
5,40,0 -> 1-po_0.0_14
5,41,1 -> po_0.1_14
5,41,0 -> 1-po_0.1_14
5,42,1 -> po_0.0_8
5,42,0 -> 1-po_0.0_8
5,43,1 -> po_0.1_8
5,43,0 -> 1-po_0.1_8
5,44,1 -> po_0.0_3
5,44,0 -> 1-po_0.0_3
5,45,1 -> po_0.1_3
5,45,0 -> 1-po_0.1_3
5,46,1 -> po_0.0_8
5,46,0 -> 1-po_0.0_8
5,47,1 -> po_0.1_8
5,47,0 -> 1-po_0.1_8
5,48,1 -> po_0.0_12
5,48,0 -> 1-po_0.0_12
5,49,1 -> po_0.1_12
5,49,0 -> 1-po_0.1_12
5,50,1 -> po_0.0_15
5,50,0 -> 1-po_0.0_15
5,51,1 -> po_0.1_15
5,51,0 -> 1-po_0.1_15
5,52,1 -> po_0.0_5
5,52,0 -> 1-po_0.0_5
5,53,1 -> po_0.1_5
5,53,0 -> 1-po_0.1_5
5,54,1 -> po_0.0_16
5,54,0 -> 1-po_0.0_16
5,55,1 -> po_0.1_16
5,55,0 -> 1-po_0.1_16
5,56,1 -> po_0.0_9
5,56,0 -> 1-po_0.0_9
5,57,1 -> po_0.1_9
5,57,0 -> 1-po_0.1_9
5,58,1 -> po_0.0_4
5,58,0 -> 1-po_0.0_4
5,59,1 -> po_0.1_4
5,59,0 -> 1-po_0.1_4
5,60,1 -> po_0.0_9
5,60,0 -> 1-po_0.0_9
5,61,1 -> po_0.1_9
5,61,0 -> 1-po_0.1_9
5,62,1 -> po_0.0_13
5,62,0 -> 1-po_0.0_13
5,63,1 -> po_0.1_13
5,63,0 -> 1-po_0.1_13
5,64,1 -> po_0.0_5
5,64,0 -> 1-po_0.0_5
5,65,1 -> po_0.1_5
5,65,0 -> 1-po_0.1_5
5,66,1 -> po_0.0_17
5,66,0 -> 1-po_0.0_17
5,67,1 -> po_0.1_17
5,67,0 -> 1-po_0.1_17
5,68,1 -> po_0.0_18
5,68,0 -> 1-po_0.0_18
5,69,1 -> po_0.1_18
5,69,0 -> 1-po_0.1_18
5,70,1 -> po_0.0_10
5,70,0 -> 1-po_0.0_10
5,71,1 -> po_0.1_10
5,71,0 -> 1-po_0.1_10
5,72,1 -> po_0.0_5
5,72,0 -> 1-po_0.0_5
5,73,1 -> po_0.1_5
5,73,0 -> 1-po_0.1_5
5,74,1 -> po_0.0_10
5,74,0 -> 1-po_0.0_10
5,75,1 -> po_0.1_10
5,75,0 -> 1-po_0.1_10
5,76,1 -> po_0.0_14
5,76,0 -> 1-po_0.0_14
5,77,1 -> po_0.1_14
5,77,0 -> 1-po_0.1_14
5,78,1 -> po_0.0_16
5,78,0 -> 1-po_0.0_16
5,79,1 -> po_0.1_16
5,79,0 -> 1-po_0.1_16
5,80,1 -> po_0.0_18
5,80,0 -> 1-po_0.0_18
5,81,1 -> po_0.1_18
5,81,0 -> 1-po_0.1_18
5,82,1 -> po_0.0_19
5,82,0 -> 1-po_0.0_19
5,83,1 -> po_0.1_19
5,83,0 -> 1-po_0.1_19
5,84,1 -> po_0.0_20
5,84,0 -> 1-po_0.0_20
5,85,1 -> po_0.1_20
5,85,0 -> 1-po_0.1_20
5,86,1 -> po_0.0_21
5,86,0 -> 1-po_0.0_21
5,87,1 -> po_0.1_21
5,87,0 -> 1-po_0.1_21
5,88,1 -> po_0.0_20
5,88,0 -> 1-po_0.0_20
5,89,1 -> po_0.1_20
5,89,0 -> 1-po_0.1_20
5,90,1 -> po_0.0_22
5,90,0 -> 1-po_0.0_22
5,91,1 -> po_0.1_22
5,91,0 -> 1-po_0.1_22
5,92,1 -> po_0.0_23
5,92,0 -> 1-po_0.0_23
5,93,1 -> po_0.1_23
5,93,0 -> 1-po_0.1_23
5,94,1 -> po_0.0_24
5,94,0 -> 1-po_0.0_24
5,95,1 -> po_0.1_24
5,95,0 -> 1-po_0.1_24
5,96,1 -> po_0.0_25
5,96,0 -> 1-po_0.0_25
5,97,1 -> po_0.1_25
5,97,0 -> 1-po_0.1_25
6,0,1 -> po_1.0_0
6,0,0 -> 1-po_1.0_0
6,1,1 -> po_1.1_0
6,1,0 -> 1-po_1.1_0
6,2,1 -> po_1.0_6
6,2,0 -> 1-po_1.0_6
6,3,1 -> po_1.1_6
6,3,0 -> 1-po_1.1_6
6,4,1 -> po_1.0_7
6,4,0 -> 1-po_1.0_7
6,5,1 -> po_1.1_7
6,5,0 -> 1-po_1.1_7
6,6,1 -> po_1.0_8
6,6,0 -> 1-po_1.0_8
6,7,1 -> po_1.1_8
6,7,0 -> 1-po_1.1_8
6,8,1 -> po_1.0_9
6,8,0 -> 1-po_1.0_9
6,9,1 -> po_1.1_9
6,9,0 -> 1-po_1.1_9
6,10,1 -> po_1.0_10
6,10,0 -> 1-po_1.0_10
6,11,1 -> po_1.1_10
6,11,0 -> 1-po_1.1_10
6,12,1 -> po_1.0_20
6,12,0 -> 1-po_1.0_20
6,13,1 -> po_1.1_20
6,13,0 -> 1-po_1.1_20
6,14,1 -> po_1.0_1
6,14,0 -> 1-po_1.0_1
6,15,1 -> po_1.1_1
6,15,0 -> 1-po_1.1_1
6,16,1 -> po_1.0_0
6,16,0 -> 1-po_1.0_0
6,17,1 -> po_1.1_0
6,17,0 -> 1-po_1.1_0
6,18,1 -> po_1.0_2
6,18,0 -> 1-po_1.0_2
6,19,1 -> po_1.1_2
6,19,0 -> 1-po_1.1_2
6,20,1 -> po_1.0_3
6,20,0 -> 1-po_1.0_3
6,21,1 -> po_1.1_3
6,21,0 -> 1-po_1.1_3
6,22,1 -> po_1.0_4
6,22,0 -> 1-po_1.0_4
6,23,1 -> po_1.1_4
6,23,0 -> 1-po_1.1_4
6,24,1 -> po_1.0_5
6,24,0 -> 1-po_1.0_5
6,25,1 -> po_1.1_5
6,25,0 -> 1-po_1.1_5
6,26,1 -> po_1.0_21
6,26,0 -> 1-po_1.0_21
6,27,1 -> po_1.1_21
6,27,0 -> 1-po_1.1_21
6,28,1 -> po_1.0_0
6,28,0 -> 1-po_1.0_0
6,29,1 -> po_1.1_0
6,29,0 -> 1-po_1.1_0
6,30,1 -> po_1.0_6
6,30,0 -> 1-po_1.0_6
6,31,1 -> po_1.1_6
6,31,0 -> 1-po_1.1_6
6,32,1 -> po_1.0_7
6,32,0 -> 1-po_1.0_7
6,33,1 -> po_1.1_7
6,33,0 -> 1-po_1.1_7
6,34,1 -> po_1.0_8
6,34,0 -> 1-po_1.0_8
6,35,1 -> po_1.1_8
6,35,0 -> 1-po_1.1_8
6,36,1 -> po_1.0_9
6,36,0 -> 1-po_1.0_9
6,37,1 -> po_1.1_9
6,37,0 -> 1-po_1.1_9
6,38,1 -> po_1.0_10
6,38,0 -> 1-po_1.0_10
6,39,1 -> po_1.1_10
6,39,0 -> 1-po_1.1_10
6,40,1 -> po_1.0_20
6,40,0 -> 1-po_1.0_20
6,41,1 -> po_1.1_20
6,41,0 -> 1-po_1.1_20
6,42,1 -> po_1.0_2
6,42,0 -> 1-po_1.0_2
6,43,1 -> po_1.1_2
6,43,0 -> 1-po_1.1_2
6,44,1 -> po_1.0_7
6,44,0 -> 1-po_1.0_7
6,45,1 -> po_1.1_7
6,45,0 -> 1-po_1.1_7
6,46,1 -> po_1.0_11
6,46,0 -> 1-po_1.0_11
6,47,1 -> po_1.1_11
6,47,0 -> 1-po_1.1_11
6,48,1 -> po_1.0_12
6,48,0 -> 1-po_1.0_12
6,49,1 -> po_1.1_12
6,49,0 -> 1-po_1.1_12
6,50,1 -> po_1.0_13
6,50,0 -> 1-po_1.0_13
6,51,1 -> po_1.1_13
6,51,0 -> 1-po_1.1_13
6,52,1 -> po_1.0_14
6,52,0 -> 1-po_1.0_14
6,53,1 -> po_1.1_14
6,53,0 -> 1-po_1.1_14
6,54,1 -> po_1.0_22
6,54,0 -> 1-po_1.0_22
6,55,1 -> po_1.1_22
6,55,0 -> 1-po_1.1_22
6,56,1 -> po_1.0_3
6,56,0 -> 1-po_1.0_3
6,57,1 -> po_1.1_3
6,57,0 -> 1-po_1.1_3
6,58,1 -> po_1.0_8
6,58,0 -> 1-po_1.0_8
6,59,1 -> po_1.1_8
6,59,0 -> 1-po_1.1_8
6,60,1 -> po_1.0_12
6,60,0 -> 1-po_1.0_12
6,61,1 -> po_1.1_12
6,61,0 -> 1-po_1.1_12
6,62,1 -> po_1.0_15
6,62,0 -> 1-po_1.0_15
6,63,1 -> po_1.1_15
6,63,0 -> 1-po_1.1_15
6,64,1 -> po_1.0_5
6,64,0 -> 1-po_1.0_5
6,65,1 -> po_1.1_5
6,65,0 -> 1-po_1.1_5
6,66,1 -> po_1.0_16
6,66,0 -> 1-po_1.0_16
6,67,1 -> po_1.1_16
6,67,0 -> 1-po_1.1_16
6,68,1 -> po_1.0_23
6,68,0 -> 1-po_1.0_23
6,69,1 -> po_1.1_23
6,69,0 -> 1-po_1.1_23
6,70,1 -> po_1.0_4
6,70,0 -> 1-po_1.0_4
6,71,1 -> po_1.1_4
6,71,0 -> 1-po_1.1_4
6,72,1 -> po_1.0_9
6,72,0 -> 1-po_1.0_9
6,73,1 -> po_1.1_9
6,73,0 -> 1-po_1.1_9
6,74,1 -> po_1.0_13
6,74,0 -> 1-po_1.0_13
6,75,1 -> po_1.1_13
6,75,0 -> 1-po_1.1_13
6,76,1 -> po_1.0_5
6,76,0 -> 1-po_1.0_5
6,77,1 -> po_1.1_5
6,77,0 -> 1-po_1.1_5
6,78,1 -> po_1.0_17
6,78,0 -> 1-po_1.0_17
6,79,1 -> po_1.1_17
6,79,0 -> 1-po_1.1_17
6,80,1 -> po_1.0_18
6,80,0 -> 1-po_1.0_18
6,81,1 -> po_1.1_18
6,81,0 -> 1-po_1.1_18
6,82,1 -> po_1.0_24
6,82,0 -> 1-po_1.0_24
6,83,1 -> po_1.1_24
6,83,0 -> 1-po_1.1_24
6,84,1 -> po_1.0_5
6,84,0 -> 1-po_1.0_5
6,85,1 -> po_1.1_5
6,85,0 -> 1-po_1.1_5
6,86,1 -> po_1.0_10
6,86,0 -> 1-po_1.0_10
6,87,1 -> po_1.1_10
6,87,0 -> 1-po_1.1_10
6,88,1 -> po_1.0_14
6,88,0 -> 1-po_1.0_14
6,89,1 -> po_1.1_14
6,89,0 -> 1-po_1.1_14
6,90,1 -> po_1.0_16
6,90,0 -> 1-po_1.0_16
6,91,1 -> po_1.1_16
6,91,0 -> 1-po_1.1_16
6,92,1 -> po_1.0_18
6,92,0 -> 1-po_1.0_18
6,93,1 -> po_1.1_18
6,93,0 -> 1-po_1.1_18
6,94,1 -> po_1.0_19
6,94,0 -> 1-po_1.0_19
6,95,1 -> po_1.1_19
6,95,0 -> 1-po_1.1_19
6,96,1 -> po_1.0_25
6,96,0 -> 1-po_1.0_25
6,97,1 -> po_1.1_25
6,97,0 -> 1-po_1.1_25
_,98,2 -> 1

# Reward function (s,a -> r)
2,4 -> r_0.0
3,4 -> r_0.1
12,2 -> 10
13,2 -> 10
14,4 -> r_1.0
15,4 -> r_1.1
26,2 -> 10
27,2 -> 10
40,2 -> 10
41,2 -> 10
54,2 -> 10
55,2 -> 10
68,2 -> 10
69,2 -> 10
82,2 -> 10
83,2 -> 10
96,2 -> 10
97,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
