73, [s0.0-b.b.b, s0.0-b.b.g, s0.0-b.g.b, s0.0-b.g.g, s0.0-g.b.b, s0.0-g.b.g, s0.0-g.g.b, s0.0-g.g.g, s0.1-b.b.b, s0.1-b.b.g, s0.1-b.g.b, s0.1-b.g.g, s0.1-g.b.b, s0.1-g.b.g, s0.1-g.g.b, s0.1-g.g.g, s0.2-b.b.b, s0.2-b.b.g, s0.2-b.g.b, s0.2-b.g.g, s0.2-g.b.b, s0.2-g.b.g, s0.2-g.g.b, s0.2-g.g.g, s1.0-b.b.b, s1.0-b.b.g, s1.0-b.g.b, s1.0-b.g.g, s1.0-g.b.b, s1.0-g.b.g, s1.0-g.g.b, s1.0-g.g.g, s1.1-b.b.b, s1.1-b.b.g, s1.1-b.g.b, s1.1-b.g.g, s1.1-g.b.b, s1.1-g.b.g, s1.1-g.g.b, s1.1-g.g.g, s1.2-b.b.b, s1.2-b.b.g, s1.2-b.g.b, s1.2-b.g.g, s1.2-g.b.b, s1.2-g.b.g, s1.2-g.g.b, s1.2-g.g.g, s2.0-b.b.b, s2.0-b.b.g, s2.0-b.g.b, s2.0-b.g.g, s2.0-g.b.b, s2.0-g.b.g, s2.0-g.g.b, s2.0-g.g.g, s2.1-b.b.b, s2.1-b.b.g, s2.1-b.g.b, s2.1-b.g.g, s2.1-g.b.b, s2.1-g.b.g, s2.1-g.g.b, s2.1-g.g.g, s2.2-b.b.b, s2.2-b.b.g, s2.2-b.g.b, s2.2-b.g.g, s2.2-g.b.b, s2.2-g.b.g, s2.2-g.g.b, s2.2-g.g.g, exit]
1, [e1]
9, [North, South, East, West, Sample, Check0, Check1, Check2, Check3]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
5,38,0 -> 0.312393
5,39,1 -> 0.687607
5,39,0 -> 0.312393
5,40,1 -> 0.393868
5,40,0 -> 0.606132
5,41,1 -> 0.393868
5,41,0 -> 0.606132
5,42,1 -> 0.393868
5,42,0 -> 0.606132
5,43,1 -> 0.393868
5,43,0 -> 0.606132
5,44,1 -> 0.606132
5,44,0 -> 0.393868
5,45,1 -> 0.606132
5,45,0 -> 0.393868
5,46,1 -> 0.606132
5,46,0 -> 0.393868
5,47,1 -> 0.606132
5,47,0 -> 0.393868
5,48,1 -> 0.0
5,48,0 -> 1.0
5,49,1 -> 0.0
5,49,0 -> 1.0
5,50,1 -> 0.0
5,50,0 -> 1.0
5,51,1 -> 0.0
5,51,0 -> 1.0
5,52,1 -> 1.0
5,52,0 -> 0.0
5,53,1 -> 1.0
5,53,0 -> 0.0
5,54,1 -> 1.0
5,54,0 -> 0.0
5,55,1 -> 1.0
5,55,0 -> 0.0
5,56,1 -> 0.25
5,56,0 -> 0.75
5,57,1 -> 0.25
5,57,0 -> 0.75
5,58,1 -> 0.25
5,58,0 -> 0.75
5,59,1 -> 0.25
5,59,0 -> 0.75
5,60,1 -> 0.75
5,60,0 -> 0.25
5,61,1 -> 0.75
5,61,0 -> 0.25
5,62,1 -> 0.75
5,62,0 -> 0.25
5,63,1 -> 0.75
5,63,0 -> 0.25
5,64,1 -> 0.375
5,64,0 -> 0.625
5,65,1 -> 0.375
5,65,0 -> 0.625
5,66,1 -> 0.375
5,66,0 -> 0.625
5,67,1 -> 0.375
5,67,0 -> 0.625
5,68,1 -> 0.625
5,68,0 -> 0.375
5,69,1 -> 0.625
5,69,0 -> 0.375
5,70,1 -> 0.625
5,70,0 -> 0.375
5,71,1 -> 0.625
5,71,0 -> 0.375
6,0,1 -> 0.393868
6,0,0 -> 0.606132
6,1,1 -> 0.393868
6,1,0 -> 0.606132
6,2,1 -> 0.606132
6,2,0 -> 0.393868
6,3,1 -> 0.606132
6,3,0 -> 0.393868
6,4,1 -> 0.393868
6,4,0 -> 0.606132
6,5,1 -> 0.393868
6,5,0 -> 0.606132
6,6,1 -> 0.606132
6,6,0 -> 0.393868
6,7,1 -> 0.606132
6,7,0 -> 0.393868
6,8,1 -> 0.312393
6,8,0 -> 0.687607
6,9,1 -> 0.312393
6,9,0 -> 0.687607
6,10,1 -> 0.687607
6,10,0 -> 0.312393
6,11,1 -> 0.687607
6,11,0 -> 0.312393
6,12,1 -> 0.312393
6,12,0 -> 0.687607
6,13,1 -> 0.312393
6,13,0 -> 0.687607
6,14,1 -> 0.687607
6,14,0 -> 0.312393
6,15,1 -> 0.687607
6,15,0 -> 0.312393
6,16,1 -> 0.25
6,16,0 -> 0.75
6,17,1 -> 0.25
6,17,0 -> 0.75
6,18,1 -> 0.75
6,18,0 -> 0.25
6,19,1 -> 0.75
6,19,0 -> 0.25
6,20,1 -> 0.25
6,20,0 -> 0.75
6,21,1 -> 0.25
6,21,0 -> 0.75
6,22,1 -> 0.75
6,22,0 -> 0.25
6,23,1 -> 0.75
6,23,0 -> 0.25
6,24,1 -> 0.375
6,24,0 -> 0.625
6,25,1 -> 0.375
6,25,0 -> 0.625
6,26,1 -> 0.625
6,26,0 -> 0.375
6,27,1 -> 0.625
6,27,0 -> 0.375
6,28,1 -> 0.375
6,28,0 -> 0.625
6,29,1 -> 0.375
6,29,0 -> 0.625
6,30,1 -> 0.625
6,30,0 -> 0.375
6,31,1 -> 0.625
6,31,0 -> 0.375
6,32,1 -> 0.25
6,32,0 -> 0.75
6,33,1 -> 0.25
6,33,0 -> 0.75
6,34,1 -> 0.75
6,34,0 -> 0.25
6,35,1 -> 0.75
6,35,0 -> 0.25
6,36,1 -> 0.25
6,36,0 -> 0.75
6,37,1 -> 0.25
6,37,0 -> 0.75
6,38,1 -> 0.75
6,38,0 -> 0.25
6,39,1 -> 0.75
6,39,0 -> 0.25
6,40,1 -> 0.0
6,40,0 -> 1.0
6,41,1 -> 0.0
6,41,0 -> 1.0
6,42,1 -> 1.0
6,42,0 -> 0.0
6,43,1 -> 1.0
6,43,0 -> 0.0
6,44,1 -> 0.0
6,44,0 -> 1.0
6,45,1 -> 0.0
6,45,0 -> 1.0
6,46,1 -> 1.0
6,46,0 -> 0.0
6,47,1 -> 1.0
6,47,0 -> 0.0
6,48,1 -> 0.393868
6,48,0 -> 0.606132
6,49,1 -> 0.393868
6,49,0 -> 0.606132
6,50,1 -> 0.606132
6,50,0 -> 0.393868
6,51,1 -> 0.606132
6,51,0 -> 0.393868
6,52,1 -> 0.393868
6,52,0 -> 0.606132
6,53,1 -> 0.393868
6,53,0 -> 0.606132
6,54,1 -> 0.606132
6,54,0 -> 0.393868
6,55,1 -> 0.606132
6,55,0 -> 0.393868
6,56,1 -> 0.312393
6,56,0 -> 0.687607
6,57,1 -> 0.312393
6,57,0 -> 0.687607
6,58,1 -> 0.687607
6,58,0 -> 0.312393
6,59,1 -> 0.687607
6,59,0 -> 0.312393
6,60,1 -> 0.312393
6,60,0 -> 0.687607
6,61,1 -> 0.312393
6,61,0 -> 0.687607
6,62,1 -> 0.687607
6,62,0 -> 0.312393
6,63,1 -> 0.687607
6,63,0 -> 0.312393
6,64,1 -> 0.25
6,64,0 -> 0.75
6,65,1 -> 0.25
6,65,0 -> 0.75
6,66,1 -> 0.75
6,66,0 -> 0.25
6,67,1 -> 0.75
6,67,0 -> 0.25
6,68,1 -> 0.25
6,68,0 -> 0.75
6,69,1 -> 0.25
6,69,0 -> 0.75
6,70,1 -> 0.75
6,70,0 -> 0.25
6,71,1 -> 0.75
6,71,0 -> 0.25
7,0,1 -> 0.393868
7,0,0 -> 0.606132
7,1,1 -> 0.393868
7,1,0 -> 0.606132
7,2,1 -> 0.393868
7,2,0 -> 0.606132
7,3,1 -> 0.393868
7,3,0 -> 0.606132
7,4,1 -> 0.393868
7,4,0 -> 0.606132
7,5,1 -> 0.393868
7,5,0 -> 0.606132
7,6,1 -> 0.393868
7,6,0 -> 0.606132
7,7,1 -> 0.393868
7,7,0 -> 0.606132
7,8,1 -> 0.375
7,8,0 -> 0.625
7,9,1 -> 0.375
7,9,0 -> 0.625
7,10,1 -> 0.375
7,10,0 -> 0.625
7,11,1 -> 0.375
7,11,0 -> 0.625
7,12,1 -> 0.375
7,12,0 -> 0.625
7,13,1 -> 0.375
7,13,0 -> 0.625
7,14,1 -> 0.375
7,14,0 -> 0.625
7,15,1 -> 0.375
7,15,0 -> 0.625
7,16,1 -> 0.393868
7,16,0 -> 0.606132
7,17,1 -> 0.393868
7,17,0 -> 0.606132
7,18,1 -> 0.393868
7,18,0 -> 0.606132
7,19,1 -> 0.393868
7,19,0 -> 0.606132
7,20,1 -> 0.393868
7,20,0 -> 0.606132
7,21,1 -> 0.393868
7,21,0 -> 0.606132
7,22,1 -> 0.393868
7,22,0 -> 0.606132
7,23,1 -> 0.393868
7,23,0 -> 0.606132
7,24,1 -> 0.312393
7,24,0 -> 0.687607
7,25,1 -> 0.312393
7,25,0 -> 0.687607
7,26,1 -> 0.312393
7,26,0 -> 0.687607
7,27,1 -> 0.312393
7,27,0 -> 0.687607
7,28,1 -> 0.312393
7,28,0 -> 0.687607
7,29,1 -> 0.312393
7,29,0 -> 0.687607
7,30,1 -> 0.312393
7,30,0 -> 0.687607
7,31,1 -> 0.312393
7,31,0 -> 0.687607
7,32,1 -> 0.25
7,32,0 -> 0.75
7,33,1 -> 0.25
7,33,0 -> 0.75
7,34,1 -> 0.25
7,34,0 -> 0.75
7,35,1 -> 0.25
7,35,0 -> 0.75
7,36,1 -> 0.25
7,36,0 -> 0.75
7,37,1 -> 0.25
7,37,0 -> 0.75
7,38,1 -> 0.25
7,38,0 -> 0.75
7,39,1 -> 0.25
7,39,0 -> 0.75
7,40,1 -> 0.312393
7,40,0 -> 0.687607
7,41,1 -> 0.312393
7,41,0 -> 0.687607
7,42,1 -> 0.312393
7,42,0 -> 0.687607
7,43,1 -> 0.312393
7,43,0 -> 0.687607
7,44,1 -> 0.312393
7,44,0 -> 0.687607
7,45,1 -> 0.312393
7,45,0 -> 0.687607
7,46,1 -> 0.312393
7,46,0 -> 0.687607
7,47,1 -> 0.312393
7,47,0 -> 0.687607
7,48,1 -> 0.25
7,48,0 -> 0.75
7,49,1 -> 0.25
7,49,0 -> 0.75
7,50,1 -> 0.25
7,50,0 -> 0.75
7,51,1 -> 0.25
7,51,0 -> 0.75
7,52,1 -> 0.25
7,52,0 -> 0.75
7,53,1 -> 0.25
7,53,0 -> 0.75
7,54,1 -> 0.25
7,54,0 -> 0.75
7,55,1 -> 0.25
7,55,0 -> 0.75
7,56,1 -> 0.0
7,56,0 -> 1.0
7,57,1 -> 0.0
7,57,0 -> 1.0
7,58,1 -> 0.0
7,58,0 -> 1.0
7,59,1 -> 0.0
7,59,0 -> 1.0
7,60,1 -> 0.0
7,60,0 -> 1.0
7,61,1 -> 0.0
7,61,0 -> 1.0
7,62,1 -> 0.0
7,62,0 -> 1.0
7,63,1 -> 0.0
7,63,0 -> 1.0
7,64,1 -> 0.25
7,64,0 -> 0.75
7,65,1 -> 0.25
7,65,0 -> 0.75
7,66,1 -> 0.25
7,66,0 -> 0.75
7,67,1 -> 0.25
7,67,0 -> 0.75
7,68,1 -> 0.25
7,68,0 -> 0.75
7,69,1 -> 0.25
7,69,0 -> 0.75
7,70,1 -> 0.25
7,70,0 -> 0.75
7,71,1 -> 0.25
7,71,0 -> 0.75
8,0,1 -> 0.375
8,0,0 -> 0.625
8,1,1 -> 0.625
8,1,0 -> 0.375
8,2,1 -> 0.375
8,2,0 -> 0.625
8,3,1 -> 0.625
8,3,0 -> 0.375
8,4,1 -> 0.375
8,4,0 -> 0.625
8,5,1 -> 0.625
8,5,0 -> 0.375
8,6,1 -> 0.375
8,6,0 -> 0.625
8,7,1 -> 0.625
8,7,0 -> 0.375
8,8,1 -> 0.25
8,8,0 -> 0.75
8,9,1 -> 0.75
8,9,0 -> 0.25
8,10,1 -> 0.25
8,10,0 -> 0.75
8,11,1 -> 0.75
8,11,0 -> 0.25
8,12,1 -> 0.25
8,12,0 -> 0.75
8,13,1 -> 0.75
8,13,0 -> 0.25
8,14,1 -> 0.25
8,14,0 -> 0.75
8,15,1 -> 0.75
8,15,0 -> 0.25
8,16,1 -> 0.0
8,16,0 -> 1.0
8,17,1 -> 1.0
8,17,0 -> 0.0
8,18,1 -> 0.0
8,18,0 -> 1.0
8,19,1 -> 1.0
8,19,0 -> 0.0
8,20,1 -> 0.0
8,20,0 -> 1.0
8,21,1 -> 1.0
8,21,0 -> 0.0
8,22,1 -> 0.0
8,22,0 -> 1.0
8,23,1 -> 1.0
8,23,0 -> 0.0
8,24,1 -> 0.393868
8,24,0 -> 0.606132
8,25,1 -> 0.606132
8,25,0 -> 0.393868
8,26,1 -> 0.393868
8,26,0 -> 0.606132
8,27,1 -> 0.606132
8,27,0 -> 0.393868
8,28,1 -> 0.393868
8,28,0 -> 0.606132
8,29,1 -> 0.606132
8,29,0 -> 0.393868
8,30,1 -> 0.393868
8,30,0 -> 0.606132
8,31,1 -> 0.606132
8,31,0 -> 0.393868
8,32,1 -> 0.312393
8,32,0 -> 0.687607
8,33,1 -> 0.687607
8,33,0 -> 0.312393
8,34,1 -> 0.312393
8,34,0 -> 0.687607
8,35,1 -> 0.687607
8,35,0 -> 0.312393
8,36,1 -> 0.312393
8,36,0 -> 0.687607
8,37,1 -> 0.687607
8,37,0 -> 0.312393
8,38,1 -> 0.312393
8,38,0 -> 0.687607
8,39,1 -> 0.687607
8,39,0 -> 0.312393
8,40,1 -> 0.25
8,40,0 -> 0.75
8,41,1 -> 0.75
8,41,0 -> 0.25
8,42,1 -> 0.25
8,42,0 -> 0.75
8,43,1 -> 0.75
8,43,0 -> 0.25
8,44,1 -> 0.25
8,44,0 -> 0.75
8,45,1 -> 0.75
8,45,0 -> 0.25
8,46,1 -> 0.25
8,46,0 -> 0.75
8,47,1 -> 0.75
8,47,0 -> 0.25
8,48,1 -> 0.429607
8,48,0 -> 0.570393
8,49,1 -> 0.570393
8,49,0 -> 0.429607
8,50,1 -> 0.429607
8,50,0 -> 0.570393
8,51,1 -> 0.570393
8,51,0 -> 0.429607
8,52,1 -> 0.429607
8,52,0 -> 0.570393
8,53,1 -> 0.570393
8,53,0 -> 0.429607
8,54,1 -> 0.429607
8,54,0 -> 0.570393
8,55,1 -> 0.570393
8,55,0 -> 0.429607
8,56,1 -> 0.393868
8,56,0 -> 0.606132
8,57,1 -> 0.606132
8,57,0 -> 0.393868
8,58,1 -> 0.393868
8,58,0 -> 0.606132
8,59,1 -> 0.606132
8,59,0 -> 0.393868
8,60,1 -> 0.393868
8,60,0 -> 0.606132
8,61,1 -> 0.606132
8,61,0 -> 0.393868
8,62,1 -> 0.393868
8,62,0 -> 0.606132
8,63,1 -> 0.606132
8,63,0 -> 0.393868
8,64,1 -> 0.375
8,64,0 -> 0.625
8,65,1 -> 0.625
8,65,0 -> 0.375
8,66,1 -> 0.375
8,66,0 -> 0.625
8,67,1 -> 0.625
8,67,0 -> 0.375
8,68,1 -> 0.375
8,68,0 -> 0.625
8,69,1 -> 0.625
8,69,0 -> 0.375
8,70,1 -> 0.375
8,70,0 -> 0.625
8,71,1 -> 0.625
8,71,0 -> 0.375
_,72,2 -> 1

# Reward function (s,a -> r)
16,4 -> -10
17,4 -> 10
18,4 -> -10
19,4 -> 10
20,4 -> -10
21,4 -> 10
22,4 -> -10
23,4 -> 10
16,2 -> 10
17,2 -> 10
18,2 -> 10
19,2 -> 10
20,2 -> 10
21,2 -> 10
22,2 -> 10
23,2 -> 10
40,4 -> -10
41,4 -> -10
42,4 -> 10
43,4 -> 10
44,4 -> -10
45,4 -> -10
46,4 -> 10
47,4 -> 10
40,2 -> 10
41,2 -> 10
42,2 -> 10
43,2 -> 10
44,2 -> 10
45,2 -> 10
46,2 -> 10
47,2 -> 10
48,4 -> -10
49,4 -> -10
50,4 -> -10
51,4 -> -10
52,4 -> 10
53,4 -> 10
54,4 -> 10
55,4 -> 10
56,4 -> -10
57,4 -> -10
58,4 -> -10
59,4 -> -10
60,4 -> -10
61,4 -> -10
62,4 -> -10
63,4 -> -10
64,2 -> 10
65,2 -> 10
66,2 -> 10
67,2 -> 10
68,2 -> 10
69,2 -> 10
70,2 -> 10
71,2 -> 10

# Initial beliefs (s -> p)
7 -> 1
